precinct,county,row_type,is_summary,cnt_christy_splitt,cnt_ken_cavagnolo,cnt_anton_d_leof,cnt_writein,cnt_total_votes,cnt_total_voters,cnt_total_voters_pps,rat_covered_pps,rat_turnout,rat_vote_share
0,clackamas,county,True,27,13,0,1,41,,,,,0.000546856243497746
0,washington,county,True,228,83,5,2,318,,,,,0.00424147037639715
0,multnomah,county,True,60360,12668,1206,381,74615,574531,383261,0.6671,0.1947,0.995211673380105
2801,multnomah,precinct,False,1485,423,26,10,1944,8457,8457,1,0.2299,0.0259289887160882
2802,multnomah,precinct,False,197,68,3,0,268,1202,1202,1,0.223,0.00357457251847307
2803,multnomah,precinct,False,394,111,9,4,518,3465,3465,1,0.1495,0.00690906180809347
2804,multnomah,precinct,False,1295,455,22,10,1782,7542,7542,1,0.2363,0.0237682396564142
2805,multnomah,precinct,False,1765,421,28,11,2225,9086,9086,1,0.2449,0.0296769546776216
2806,multnomah,precinct,False,1832,389,26,11,2258,9631,9631,1,0.2345,0.0301171072638515
3101,multnomah,precinct,False,144,77,10,2,233,2306,1249,0.5416,0.1865,0.00310774401792621
3301,multnomah,precinct,False,165,67,2,4,238,1329,1169,0.8796,0.2036,0.00317443380371862
3302,multnomah,precinct,False,1109,359,28,11,1507,8805,8805,1,0.1712,0.0201003014378318
3303,multnomah,precinct,False,955,256,43,6,1260,9533,9533,1,0.1322,0.0168058260196868
3304,multnomah,precinct,False,1249,471,32,8,1760,8816,8816,1,0.1996,0.0234748045989276
3305,multnomah,precinct,False,7,3,0,0,10,35,26,0.7429,0.3846,0.000133379571584816
3306,multnomah,precinct,False,684,222,29,8,943,8812,8811,0.9999,0.107,0.0125776936004482
3307,multnomah,precinct,False,777,202,19,4,1002,6109,6109,1,0.164,0.0133646330727986
3308,multnomah,precinct,False,559,110,17,3,689,4110,4110,1,0.1676,0.00918985248219383
3401,multnomah,precinct,False,92,40,2,0,134,828,828,1,0.1618,0.00178728625923654
3402,multnomah,precinct,False,0,0,0,0,0,167,0,0,0,0
3801,multnomah,precinct,False,13,7,0,0,20,1282,72,0.0562,0.2778,0.000266759143169632
3802,multnomah,precinct,False,313,123,7,1,444,2203,2066,0.9378,0.2149,0.00592205297836583
3803,multnomah,precinct,False,1711,573,28,12,2324,8641,8641,1,0.269,0.0309974124363113
3804,multnomah,precinct,False,553,174,18,4,749,3956,3956,1,0.1893,0.00999012991170272
3805,multnomah,precinct,False,1203,331,23,4,1561,7567,7567,1,0.2063,0.0208205511243898
3806,multnomah,precinct,False,0,0,0,0,0,184,0,0,0,0
4101,multnomah,precinct,False,732,148,11,6,897,3213,3213,1,0.2792,0.011964147571158
4102,multnomah,precinct,False,585,125,15,2,727,3480,3480,1,0.2089,0.00969669485421613
4103,multnomah,precinct,False,916,253,15,8,1192,4057,4057,1,0.2938,0.0158988449329101
4104,multnomah,precinct,False,1271,226,20,6,1523,6139,6139,1,0.2481,0.0203137087523675
4105,multnomah,precinct,False,1460,275,26,8,1769,7445,7445,1,0.2376,0.023594846213354
4201,multnomah,precinct,False,1084,141,13,1,1239,6474,6474,1,0.1914,0.0165257289193587
4202,multnomah,precinct,False,1742,263,28,1,2034,9000,9000,1,0.226,0.0271294048603516
4203,multnomah,precinct,False,1448,205,23,4,1680,8236,8236,1,0.204,0.0224077680262491
4204,multnomah,precinct,False,1583,220,9,9,1821,7862,7862,1,0.2316,0.024288419985595
4205,multnomah,precinct,False,1132,140,16,6,1294,8771,8771,1,0.1475,0.0172593165630752
4206,multnomah,precinct,False,976,140,18,5,1139,6621,6621,1,0.172,0.0151919332035106
4207,multnomah,precinct,False,812,156,6,3,977,3762,3762,1,0.2597,0.0130311841438365
4208,multnomah,precinct,False,802,155,11,6,974,3553,3553,1,0.2741,0.0129911702723611
4301,multnomah,precinct,False,693,89,19,3,804,5177,5177,1,0.1553,0.0107237175554192
4302,multnomah,precinct,False,774,128,17,1,920,7357,7357,1,0.1251,0.0122709205858031
4303,multnomah,precinct,False,1238,138,29,6,1411,8768,8768,1,0.1609,0.0188198575506175
4304,multnomah,precinct,False,1481,198,27,3,1709,8252,8252,1,0.2071,0.0227945687838451
4305,multnomah,precinct,False,1569,231,19,9,1828,8369,8369,1,0.2184,0.0243817856857044
4306,multnomah,precinct,False,1695,347,13,3,2058,7724,7724,1,0.2664,0.0274495158321551
4307,multnomah,precinct,False,1554,251,25,8,1838,8734,8734,1,0.2104,0.0245151652572892
4401,multnomah,precinct,False,764,166,26,6,962,6096,6096,1,0.1578,0.0128311147864593
4402,multnomah,precinct,False,1021,218,24,11,1274,7880,7880,1,0.1617,0.0169925574199056
4403,multnomah,precinct,False,1264,268,35,18,1585,9581,9581,1,0.1654,0.0211406620961933
4404,multnomah,precinct,False,1346,258,24,2,1630,7751,7751,1,0.2103,0.021740870168325
4405,multnomah,precinct,False,1419,202,23,9,1653,9768,9768,1,0.1692,0.0220476431829701
4406,multnomah,precinct,False,879,264,43,7,1193,8846,8846,1,0.1349,0.0159121828900686
4407,multnomah,precinct,False,0,0,0,0,0,53,0,0,0,0
4501,multnomah,precinct,False,2447,404,36,12,2899,9517,9517,1,0.3046,0.0386667378024382
4502,multnomah,precinct,False,1845,328,33,7,2213,9389,9389,1,0.2357,0.0295168991917198
4503,multnomah,precinct,False,1421,304,29,13,1767,9227,9227,1,0.1915,0.023568170299037
4504,multnomah,precinct,False,0,0,0,0,0,629,0,0,0,0
4505,multnomah,precinct,False,406,59,11,1,477,3107,3107,1,0.1535,0.00636220556459573
