Precinct,TOTAL,DEM,REP,NAV,OTH,CON,IND,LBT,NLB,PGP,PRO,WFP,WTP
2801,8457,4940,546,2461,27,1,327,49,19,43,19,24,1
2802,1202,659,173,301,3,0,56,5,0,3,1,1,0
2803,3465,1816,173,1216,11,3,155,20,20,23,19,9,0
2804,7542,4410,729,1951,28,2,313,36,13,27,13,19,1
2805,9086,5325,919,2372,41,2,316,44,13,31,7,16,0
2806,9631,5600,650,2774,54,8,387,32,24,46,18,38,0
3101,2306,969,508,634,17,0,140,9,5,9,2,13,0
3301,1329,692,207,347,9,0,62,6,1,4,1,0,0
3302,8805,4930,522,2736,42,6,393,39,20,47,25,44,1
3303,9533,4606,497,3599,64,8,467,54,56,54,43,85,0
3304,8816,4878,643,2786,29,5,372,35,18,22,18,9,1
3305,35,15,9,10,0,0,1,0,0,0,0,0,0
3306,8812,4054,488,3444,86,14,453,64,39,53,38,79,0
3307,6109,3359,288,2038,27,1,261,34,26,28,22,24,1
3308,4110,2218,229,1379,28,3,142,28,7,21,22,32,1
3401,828,408,76,292,5,0,42,1,0,3,1,0,0
3402,167,79,23,55,1,0,9,0,0,0,0,0,0
3801,1282,617,211,359,4,0,78,8,1,3,0,0,1
3802,2203,1110,342,596,11,0,115,9,5,8,3,4,0
3803,8641,5070,864,2195,35,0,344,47,14,35,13,20,4
3804,3956,2056,411,1241,22,1,165,23,4,17,6,10,0
3805,7567,4109,660,2318,21,3,337,43,21,26,15,14,0
3806,184,104,6,62,0,0,10,1,1,0,0,0,0
4101,3213,2046,221,779,10,1,126,10,3,8,5,4,0
4102,3480,2124,203,922,19,0,152,16,7,19,8,10,0
4103,4057,2576,319,928,17,1,164,8,5,22,7,10,0
4104,6139,3741,353,1653,44,7,225,19,12,29,19,37,0
4105,7445,4753,340,1943,39,0,262,23,15,30,21,19,0
4201,6474,3739,215,2097,33,3,218,34,16,46,35,38,0
4202,9000,5848,239,2403,49,2,271,36,19,76,33,24,0
4203,8236,5134,307,2340,35,2,244,41,18,58,22,35,0
4204,7862,4986,240,2170,31,4,261,34,19,57,29,31,0
4205,8771,5076,231,2902,41,6,283,44,26,62,48,52,0
4206,6621,3796,220,2129,40,4,251,40,17,50,24,50,0
4207,3762,2469,163,927,17,1,127,14,5,17,10,12,0
4208,3553,2380,169,818,18,1,112,23,5,12,4,10,1
4301,5177,3134,144,1564,22,4,181,21,12,28,17,50,0
4302,7357,4175,200,2510,30,4,252,35,22,44,25,60,0
4303,8768,5589,198,2482,54,3,239,40,18,56,21,68,0
4304,8252,5246,247,2266,41,4,288,29,19,41,21,50,0
4305,8369,5506,288,2178,51,4,212,21,12,44,16,37,0
4306,7724,5126,365,1836,26,1,261,30,16,24,24,14,1
4307,8734,5458,353,2420,33,2,305,33,11,52,22,45,0
4401,6096,3282,349,2077,43,3,202,32,13,22,12,61,0
4402,7880,4154,430,2806,46,6,238,25,21,57,24,73,0
4403,9581,5213,489,3282,55,11,306,35,21,36,22,109,2
4404,7751,4804,398,2114,38,2,265,25,11,46,9,38,1
4405,9768,5732,351,3095,54,7,285,45,27,58,42,71,1
4406,8846,4104,775,3342,67,6,357,42,41,36,16,59,1
4407,53,17,9,18,2,0,6,0,0,0,0,1,0
4501,9517,6414,545,2131,37,0,294,22,13,30,10,21,0
4502,9389,5796,535,2479,48,3,341,37,16,56,22,55,1
4503,9227,5103,771,2790,52,8,341,39,15,45,18,45,0
4504,629,334,76,158,7,0,36,4,1,3,3,7,0
4505,3107,1674,167,1032,31,0,123,11,10,20,11,27,1
4506,9497,5437,646,2817,75,3,298,57,25,50,28,59,2
4507,509,206,55,212,2,0,18,2,4,3,0,7,0
4508,8671,3637,1117,3307,70,10,352,47,21,34,18,56,2
4509,1241,542,209,411,6,0,55,8,2,1,1,6,0
4601,7934,4827,425,2228,43,6,280,21,13,47,10,34,0
4602,7324,4236,423,2220,44,2,242,24,9,51,23,48,2
4603,5308,2909,368,1692,38,3,180,26,10,35,14,32,1
4604,7992,4043,636,2767,60,2,319,35,16,47,27,39,1
4605,7356,3054,691,3093,62,15,237,53,21,43,19,68,0
4606,7496,3045,727,3207,54,10,268,48,15,31,25,65,1
4607,5693,2288,543,2428,51,11,205,46,14,31,10,61,5
4608,60,25,8,24,0,0,2,0,0,0,0,1,0
4701,164,41,22,92,0,0,5,0,1,1,1,1,0
4702,2907,1242,411,1035,27,4,129,15,10,6,2,25,1
4703,7097,2766,1057,2832,46,5,257,33,21,18,6,56,0
4704,5634,1914,859,2488,53,9,203,28,14,21,10,34,1
4705,4493,1852,707,1656,22,4,163,30,5,16,10,28,0
4706,3920,1654,582,1430,26,2,150,18,6,8,7,36,1
4707,8197,3510,925,3174,56,3,335,42,28,38,14,71,1
4708,8241,3063,1096,3567,48,11,279,46,14,29,22,65,1
4709,1591,557,197,721,20,2,58,9,7,8,3,9,0
4710,2102,756,251,940,16,4,82,9,10,10,2,22,0
4801,983,346,105,470,7,1,36,7,0,6,1,4,0
4802,7673,2887,932,3356,62,11,277,34,19,30,14,50,1
4803,4988,1560,692,2445,37,8,149,26,12,11,9,39,0
4804,8110,2709,1226,3680,44,8,273,47,25,30,12,56,0
4805,552,137,70,305,7,0,19,5,2,1,0,6,0
4806,8315,2818,1406,3564,64,9,300,49,23,15,15,50,2
4807,430,122,115,166,3,0,24,0,0,0,0,0,0
4808,2604,853,574,1006,19,3,115,16,3,2,3,9,1
4809,17,6,4,5,1,0,1,0,0,0,0,0,0
4901,146,48,31,54,2,1,6,0,0,2,0,2,0
4902,328,131,88,72,4,0,26,3,2,1,1,0,0
4903,6733,2224,1228,2788,49,9,317,47,15,16,5,33,2
4904,2387,657,421,1139,12,3,107,18,3,8,6,11,2
4905,8394,2545,2148,3071,59,15,430,49,9,29,11,28,0
4906,3456,1023,721,1457,26,7,159,29,9,7,3,15,0
4907,6282,1936,1032,2903,43,5,244,38,14,12,6,47,2
4908,8668,2717,1678,3604,54,8,452,52,24,19,14,46,0
4909,6747,2266,908,3111,44,9,256,29,27,21,14,62,0
4910,503,170,69,223,3,0,23,4,2,1,0,8,0
