STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,total_households,households_no_minors,percent_no_minors
41,051,001302,3,410510013023,Block Group 3,G5030,S,325312,0,+45.5084396,-122.6321595,559,320,57.2
41,051,003501,3,410510035013,Block Group 3,G5030,S,550258,0,+45.5585416,-122.6903531,439,245,55.8
41,051,006701,2,410510067012,Block Group 2,G5030,S,854730,2883,+45.4841816,-122.7391526,741,376,50.7
41,051,006701,1,410510067011,Block Group 1,G5030,S,995593,0,+45.4796943,-122.7310285,671,495,73.8
41,051,006501,3,410510065013,Block Group 3,G5030,S,1177878,0,+45.4613441,-122.7383083,577,492,85.3
41,051,980000,1,410519800001,Block Group 1,G5030,S,4124790,1594068,+45.5616447,-122.7062012,0,0,0.0
41,051,004200,3,410510042003,Block Group 3,G5030,S,1040872,384340,+45.5916733,-122.7667918,593,256,43.2
41,051,004800,3,410510048003,Block Group 3,G5030,S,50249,0,+45.5262995,-122.6944192,403,52,12.9
41,051,005001,1,410510050011,Block Group 1,G5030,S,122980,0,+45.5321130,-122.6855564,1286,156,12.1
41,051,005602,3,410510056023,Block Group 3,G5030,S,123696,0,+45.5106474,-122.6859392,135,0,0.0
41,051,000101,1,410510001011,Block Group 1,G5030,S,301304,0,+45.4614113,-122.6500533,826,373,45.2
41,051,001703,3,410510017033,Block Group 3,G5030,S,224697,0,+45.5284071,-122.5901182,279,247,88.5
41,051,006502,2,410510065022,Block Group 2,G5030,S,372993,0,+45.4633844,-122.7041552,475,134,28.2
41,051,000101,2,410510001012,Block Group 2,G5030,S,212108,0,+45.4612551,-122.6550014,281,128,45.6
41,051,001703,4,410510017034,Block Group 4,G5030,S,388056,0,+45.5312122,-122.5916942,700,290,41.4
41,051,001703,2,410510017032,Block Group 2,G5030,S,347590,0,+45.5290120,-122.5829113,701,259,36.9
41,051,003904,1,410510039041,Block Group 1,G5030,S,426043,0,+45.5863825,-122.6978076,631,352,55.8
41,051,005102,2,410510051022,Block Group 2,G5030,S,62773,0,+45.5283085,-122.6823135,727,283,38.9
41,051,002101,2,410510021012,Block Group 2,G5030,S,431435,73605,+45.5257421,-122.6599046,592,126,21.3
41,051,005201,2,410510052012,Block Group 2,G5030,S,108114,0,+45.5200426,-122.6854617,572,70,12.2
41,051,005201,3,410510052013,Block Group 3,G5030,S,181929,0,+45.5195152,-122.6891842,796,38,4.8
41,051,005601,2,410510056012,Block Group 2,G5030,S,40071,0,+45.5150164,-122.6848241,713,144,20.2
41,051,005102,4,410510051024,Block Group 4,G5030,S,113761,0,+45.5247900,-122.6793370,350,143,40.9
41,051,005103,1,410510051031,Block Group 1,G5030,S,62669,0,+45.5248428,-122.6764875,217,0,0.0
41,051,005500,1,410510055001,Block Group 1,G5030,S,93450,0,+45.5164248,-122.6908490,686,108,15.7
41,051,005602,2,410510056022,Block Group 2,G5030,S,144460,0,+45.5125315,-122.6839624,579,105,18.1
41,051,005702,1,410510057021,Block Group 1,G5030,S,126862,0,+45.5074680,-122.6795843,944,209,22.1
41,051,002102,1,410510021021,Block Group 1,G5030,S,360312,0,+45.5268863,-122.6496916,311,61,19.6
41,051,000102,2,410510001022,Block Group 2,G5030,S,298728,0,+45.4705569,-122.6523223,512,336,65.6
41,051,001204,1,410510012041,Block Group 1,G5030,S,162165,0,+45.5171570,-122.6369532,455,181,39.8
41,051,002303,3,410510023033,Block Group 3,G5030,S,449782,0,+45.5344473,-122.6610322,977,177,18.1
41,051,004003,3,410510040033,Block Group 3,G5030,S,606656,0,+45.5886328,-122.7262204,735,375,51.0
41,051,004901,2,410510049012,Block Group 2,G5030,S,88051,0,+45.5330555,-122.6956854,355,58,16.3
41,051,004902,2,410510049022,Block Group 2,G5030,S,125591,0,+45.5276512,-122.6907147,796,74,9.3
41,051,006403,1,410510064031,Block Group 1,G5030,S,526643,0,+45.4432359,-122.7199351,463,358,77.3
41,051,006501,1,410510065011,Block Group 1,G5030,S,1118889,0,+45.4606862,-122.7278813,881,665,75.5
41,051,002001,1,410510020011,Block Group 1,G5030,S,198616,0,+45.5210685,-122.6340612,560,177,31.6
41,051,001204,2,410510012042,Block Group 2,G5030,S,389639,0,+45.5171764,-122.6443508,1065,218,20.5
41,051,001203,2,410510012032,Block Group 2,G5030,S,178231,0,+45.5135924,-122.6460317,737,163,22.1
41,051,001203,1,410510012031,Block Group 1,G5030,S,197567,0,+45.5135428,-122.6386468,784,295,37.6
41,051,005201,1,410510052011,Block Group 1,G5030,S,48836,0,+45.5221571,-122.6875809,185,32,17.3
41,051,002102,3,410510021023,Block Group 3,G5030,S,249102,0,+45.5221802,-122.6478900,583,110,18.9
41,051,001704,2,410510017042,Block Group 2,G5030,S,324157,0,+45.5238867,-122.5901248,714,514,72.0
41,051,008301,3,410510083013,Block Group 3,G5030,S,334804,0,+45.5010245,-122.5760431,481,252,52.4
41,051,006502,3,410510065023,Block Group 3,G5030,S,722943,0,+45.4610215,-122.7124323,1061,349,32.9
41,051,006402,4,410510064024,Block Group 4,G5030,S,1017406,0,+45.4371352,-122.7029150,691,379,54.8
41,051,001704,1,410510017041,Block Group 1,G5030,S,246073,0,+45.5209866,-122.5829413,337,154,45.7
41,051,001704,3,410510017043,Block Group 3,G5030,S,244241,0,+45.5246225,-122.5829241,219,120,54.8
41,051,005202,1,410510052021,Block Group 1,G5030,S,122489,0,+45.5197970,-122.6950883,509,166,32.6
41,051,003904,3,410510039043,Block Group 3,G5030,S,486601,0,+45.5805772,-122.7013089,532,260,48.9
41,051,004901,1,410510049011,Block Group 1,G5030,S,125617,0,+45.5336420,-122.6985495,749,378,50.5
41,051,005001,2,410510050012,Block Group 2,G5030,S,221839,0,+45.5265598,-122.6850608,1174,243,20.7
41,051,005102,1,410510051021,Block Group 1,G5030,S,111257,0,+45.5283181,-122.6794889,581,149,25.6
41,051,005002,1,410510050021,Block Group 1,G5030,S,117249,0,+45.5267186,-122.6878548,325,0,0.0
41,051,005102,3,410510051023,Block Group 3,G5030,S,63032,0,+45.5247343,-122.6821874,356,169,47.5
41,051,004103,1,410510041031,Block Group 1,G5030,S,477360,0,+45.5976388,-122.7488957,717,304,42.4
41,051,004104,1,410510041041,Block Group 1,G5030,S,1164208,0,+45.6049078,-122.7585765,584,368,63.0
41,051,004103,2,410510041032,Block Group 2,G5030,S,438282,0,+45.5966086,-122.7396435,578,409,70.8
41,051,004003,2,410510040032,Block Group 2,G5030,S,372501,0,+45.5930102,-122.7219635,328,165,50.3
41,051,004003,4,410510040034,Block Group 4,G5030,S,344250,0,+45.5832711,-122.7174439,549,236,43.0
41,051,003903,2,410510039032,Block Group 2,G5030,S,799924,0,+45.5880676,-122.7087998,640,320,50.0
41,051,004500,2,410510045002,Block Group 2,G5030,S,637595,0,+45.5369627,-122.7127886,1032,379,36.7
41,051,005202,3,410510052023,Block Group 3,G5030,S,49845,0,+45.5223196,-122.6968144,763,247,32.4
41,051,005101,3,410510051013,Block Group 3,G5030,S,202800,162443,+45.5332600,-122.6794774,482,156,32.4
41,051,006602,4,410510066024,Block Group 4,G5030,S,441512,0,+45.4696491,-122.7050729,968,179,18.5
41,051,005103,3,410510051033,Block Group 3,G5030,S,185475,73765,+45.5290538,-122.6743580,917,173,18.9
41,051,005500,3,410510055003,Block Group 3,G5030,S,243712,0,+45.5132420,-122.6921727,612,172,28.1
41,051,005901,2,410510059012,Block Group 2,G5030,S,236783,0,+45.4986151,-122.6762726,380,161,42.4
41,051,005902,3,410510059023,Block Group 3,G5030,S,262830,292860,+45.4955972,-122.6698309,675,312,46.2
41,051,007202,2,410510072022,Block Group 2,G5030,S,439640,354101,+45.6030945,-122.6704717,510,142,27.8
41,051,002002,1,410510020021,Block Group 1,G5030,S,191309,0,+45.5287060,-122.6419876,256,30,11.7
41,051,002002,2,410510020022,Block Group 2,G5030,S,253207,0,+45.5210945,-122.6414005,925,308,33.3
41,051,002001,3,410510020013,Block Group 3,G5030,S,255696,0,+45.5297133,-122.6334513,311,117,37.6
41,051,010601,2,410510106012,Block Group 2,G5030,S,140752,0,+45.5205042,-122.6824443,119,0,0.0
41,051,005601,1,410510056011,Block Group 1,G5030,S,20231,0,+45.5154223,-122.6863412,564,66,11.7
41,051,010601,1,410510106011,Block Group 1,G5030,S,60318,0,+45.5171471,-122.6842457,1057,201,19.0
