precinct,candidate_yes,candidate_no,total_votes
Clackamas,36,39,75
2801,1609,1286,2895
2802,227,246,473
2803,469,264,733
2804,1285,1571,2856
2805,2025,1532,3557
2806,2041,1289,3330
3101,144,230,374
3301,177,228,405
3302,1151,1209,2360
3303,1193,626,1819
3304,1203,1659,2862
3305,6,4,10
3306,838,545,1383
3307,834,661,1495
3308,610,431,1041
3401,113,127,240
3402,0,0,0
3801,21,13,34
3802,334,302,636
3803,1729,1705,3434
3804,580,594,1174
3805,1315,997,2312
4101,883,540,1423
4102,722,367,1089
4103,1161,666,1827
4104,1477,842,2319
4105,1900,860,2760
4201,1179,522,1701
4202,2009,941,2950
4203,1870,787,2657
4204,1736,961,2697
4205,1255,562,1817
4206,1267,500,1767
4207,779,624,1403
4208,827,617,1444
4301,854,392,1246
4302,973,447,1420
4303,1496,746,2242
4304,1653,857,2510
4305,1684,1026,2710
4306,1770,1265,3035
4307,1585,1091,2676
4401,871,579,1450
4402,1140,710,1850
4403,1366,1003,2369
4404,1486,1057,2543
4405,1628,941,2569
4406,932,854,1786
4407,0,0,0
4501,2265,1748,4013
4502,1889,1353,3242
4503,1454,1189,2643
4505,456,270,726
4506,1530,1156,2686
4601,1628,1032,2660
4602,1373,837,2210
4603,934,553,1487
4604,1182,800,1982
4605,704,517,1221
4606,584,403,987
4607,488,440,928
4608,3,7,10
4702,2,2,4
4801,45,61,106
Washington,214,205,419
