precinct,greene,chase_miller,write_in,total_votes
clackamas,28,12,1,41
multnomah,38910,58762,478,98150
multnomah,0,0,0,0
2801,1213,1220,10,2443
2802,203,178,2,383
2803,285,368,4,657
2804,1194,1093,11,2298
2805,1237,1663,12,2912
2806,1242,1601,10,2853
3101,133,161,1,295
3301,141,162,2,305
3302,994,941,12,1947
3303,637,959,10,1606
3304,1100,1232,13,2345
3305,4,6,0,10
3306,464,736,7,1207
3307,557,723,2,1282
3308,346,580,3,929
3401,96,100,0,196
3402,0,0,0,0
3801,9,14,0,23
3802,229,294,3,526
3803,1272,1497,13,2782
3804,402,556,11,969
3805,867,1076,6,1949
4101,473,706,5,1184
4102,389,563,2,954
4103,706,823,11,1540
4104,734,1254,10,1998
4105,1008,1380,11,2399
4201,485,1022,1,1508
4202,930,1660,3,2593
4203,709,1644,9,2362
4204,919,1474,15,2408
4205,520,1113,5,1638
4206,541,1020,9,1570
4207,551,658,11,1220
4208,555,671,3,1229
4301,393,761,6,1160
4302,473,868,4,1345
4303,709,1341,4,2054
4304,970,1368,9,2347
4305,1025,1405,2,2432
4306,1289,1355,8,2652
4307,920,1506,6,2432
4401,420,891,5,1316
4402,557,1114,15,1686
4403,772,1355,15,2142
4404,846,1438,7,2291
4405,852,1477,9,2338
4406,592,978,13,1583
4407,0,0,0,0
4501,1602,1856,17,3475
4502,1109,1744,9,2862
4503,823,1436,16,2275
4505,216,413,1,630
4506,922,1397,18,2337
4601,865,1425,10,2300
4602,604,1401,12,2017
4603,409,924,7,1340
4604,528,1199,14,1741
4605,331,736,24,1091
4606,247,616,6,869
4607,258,549,14,821
4608,1,5,0,6
4702,3,1,0,4
4801,29,55,0,84
washington,121,147,2,270
