precinct,TOTAL,DEM,REP,NAV,OTH,CON,IND,LBT,NLB,PGP,PRO,WFP,WTP,candidate_sanchez_bautista,candidate_la_forte,candidate_write_in,total_votes,votes_sanchez_bautista,votes_la_forte,votes_write_in,votes_total,is_county_rollup,is_zone1_precinct,is_non_zone1_precinct,is_summary,record_type,has_voter_registration,has_election_results,is_complete_record,reg_pct_dem,reg_pct_rep,reg_pct_nav,reg_pct_oth,reg_pct_con,reg_pct_ind,reg_pct_lbt,reg_pct_nlb,reg_pct_pgp,reg_pct_pro,reg_pct_wfp,reg_pct_wtp,dem_advantage,major_party_pct,political_lean,turnout_rate,vote_pct_sanchez_bautista,vote_pct_la_forte,vote_pct_write_in,vote_margin,margin_pct,leading_candidate,second_candidate,competitiveness,is_competitive,zone1_total_votes,zone1_vote_share,precinct_size,vote_pct_contribution_sanchez_bautista,vote_pct_contribution_la_forte,vote_pct_contribution_write_in,vote_pct_contribution_total_votes
2801,8457.0,4940.0,546.0,2461.0,27.0,1.0,327.0,49.0,19.0,43.0,19.0,24.0,1.0,839.0,1621.0,8.0,2468.0,839,1621,8,2468,False,True,False,False,zone1_precinct,True,True,True,58.41314887075795,6.456190138346932,29.100153718812816,0.31926214969847466,0.011824524062906468,3.8666193685704147,0.5794016790824169,0.2246659571952229,0.5084545347049781,0.2246659571952229,0.2837885775097552,0.011824524062906468,51.95695873241102,64.86933900910488,Strong Dem,29.18292538725316,33.995137763371154,65.6807131280389,0.3241491085899514,782,31.685575364667745,La Forte,Sanchez Bautista,Safe,False,98423,2.5162619033053977,Extra Large,1.724846840179269,3.2829714841218403,1.9753086419753085,2.5075439683813743
2802,1202.0,659.0,173.0,301.0,3.0,0.0,56.0,5.0,0.0,3.0,1.0,1.0,0.0,89.0,293.0,1.0,383.0,89,293,1,383,False,True,False,False,zone1_precinct,True,True,True,54.82529118136439,14.392678868552414,25.041597337770384,0.24958402662229617,0.0,4.658901830282862,0.4159733777038269,0.0,0.24958402662229617,0.08319467554076539,0.08319467554076539,0.0,40.432612312811976,69.2179700499168,Strong Dem,31.863560732113143,23.237597911227155,76.50130548302873,0.26109660574412535,204,53.26370757180157,La Forte,Sanchez Bautista,Safe,False,98423,0.3904895903427744,Medium,0.18296945026931458,0.5934057031756318,0.24691358024691357,0.38913668553082104
2803,3465.0,1816.0,173.0,1216.0,11.0,3.0,155.0,20.0,20.0,23.0,19.0,9.0,0.0,333.0,318.0,3.0,654.0,333,318,3,654,False,True,False,False,zone1_precinct,True,True,True,52.4098124098124,4.992784992784992,35.093795093795094,0.31746031746031744,0.08658008658008658,4.473304473304474,0.5772005772005772,0.5772005772005772,0.6637806637806638,0.5483405483405484,0.2597402597402597,0.0,47.41702741702741,57.402597402597394,Strong Dem,18.874458874458874,50.917431192660544,48.62385321100918,0.45871559633027525,15,2.293577981651376,Sanchez Bautista,La Forte,Toss-up,True,98423,0.6667890132746069,Large,0.6845935611200197,0.6440375891121193,0.7407407407407408,0.6644788311675117
2804,7542.0,4410.0,729.0,1951.0,28.0,2.0,313.0,36.0,13.0,27.0,13.0,19.0,1.0,691.0,1624.0,12.0,2327.0,691,1624,12,2327,False,True,False,False,zone1_precinct,True,True,True,58.47255369928401,9.665871121718377,25.86846990188279,0.37125430920180325,0.026518164942985947,4.1500928135773005,0.47732696897374705,0.17236807212940866,0.35799522673031026,0.17236807212940866,0.2519225669583665,0.013259082471492973,48.80668257756564,68.13842482100239,Strong Dem,30.853884911164148,29.694886119467125,69.78942844864633,0.5156854318865491,933,40.0945423291792,La Forte,Sanchez Bautista,Safe,False,98423,2.3725046389755513,Extra Large,1.420583035237038,3.2890473104342193,2.9629629629629632,2.3642847708360852
2805,9086.0,5325.0,919.0,2372.0,41.0,2.0,316.0,44.0,13.0,31.0,7.0,16.0,0.0,1232.0,1665.0,13.0,2910.0,1232,1665,13,2910,False,True,False,False,zone1_precinct,True,True,True,58.60664758969843,10.114461809377064,26.10609729253797,0.45124367158265466,0.02201188641866608,3.4778780541492407,0.48426150121065376,0.1430772617213295,0.34118423948932425,0.07704160246533129,0.17609509134932863,0.0,48.49218578032137,68.7211093990755,Strong Dem,32.027294739159146,42.33676975945017,57.21649484536082,0.4467353951890034,433,14.879725085910653,La Forte,Sanchez Bautista,Safe,False,98423,2.96690524255215,Extra Large,2.532790592492085,3.3720836033700583,3.2098765432098766,2.956625991892139
2806,9631.0,5600.0,650.0,2774.0,54.0,8.0,387.0,32.0,24.0,46.0,18.0,38.0,0.0,1278.0,1555.0,10.0,2843.0,1278,1555,10,2843,False,True,False,False,zone1_precinct,True,True,True,58.14557159173502,6.749039559754958,28.80282421347731,0.5606894403488734,0.08306510227390718,4.018274322500259,0.3322604090956287,0.24919530682172153,0.47762433807496624,0.18689648011629115,0.3945592358010591,0.0,51.396532031980065,64.89461115148998,Strong Dem,29.519260720589763,44.95251494899753,54.6957439324657,0.35174111853675694,277,9.743228983468168,La Forte,Sanchez Bautista,Competitive,True,98423,2.898595053118819,Extra Large,2.6273590724065623,3.149303305249514,2.4691358024691357,2.888552472491186
3101,2306.0,969.0,508.0,634.0,17.0,0.0,140.0,9.0,5.0,9.0,2.0,13.0,0.0,124.0,175.0,1.0,300.0,124,175,1,300,False,True,False,False,zone1_precinct,True,True,True,42.02081526452732,22.029488291413703,27.49349522983521,0.7372072853425846,0.0,6.071118820468343,0.39028620988725066,0.21682567215958368,0.39028620988725066,0.08673026886383348,0.5637467476149176,0.0,19.99132697311362,64.05030355594103,Lean Dem,13.009540329575023,41.333333333333336,58.333333333333336,0.33333333333333337,51,17.0,La Forte,Sanchez Bautista,Safe,False,98423,0.30586651985073715,Medium,0.25492372846511246,0.3544232015554115,0.24691358024691357,0.30480680328784937
3301,1329.0,692.0,207.0,347.0,9.0,0.0,62.0,6.0,1.0,4.0,1.0,0.0,0.0,92.0,213.0,3.0,308.0,92,213,3,308,False,True,False,False,zone1_precinct,True,True,True,52.06922498118887,15.575620767494355,26.109857035364936,0.6772009029345373,0.0,4.6651617757712565,0.4514672686230248,0.07524454477050413,0.3009781790820165,0.07524454477050413,0.0,0.0,36.49360421369451,67.64484574868322,Strong Dem,23.175319789315274,29.87012987012987,69.15584415584416,0.974025974025974,121,39.285714285714285,La Forte,Sanchez Bautista,Safe,False,98423,0.31402296038009014,Medium,0.1891369598289544,0.4313836681788723,0.7407407407407408,0.3129349847088587
3302,8805.0,4930.0,522.0,2736.0,42.0,6.0,393.0,39.0,20.0,47.0,25.0,44.0,1.0,708.0,1227.0,10.0,1945.0,708,1227,10,1945,False,True,False,False,zone1_precinct,True,True,True,55.99091425326519,5.928449744463373,31.073253833049403,0.4770017035775128,0.06814310051107325,4.463373083475298,0.44293015332197616,0.2271436683702442,0.5337876206700738,0.2839295854628052,0.4997160704145372,0.011357183418512209,50.06246450880182,61.91936399772856,Strong Dem,22.089721749006248,36.401028277634964,63.084832904884315,0.5141388174807198,519,26.68380462724936,La Forte,Sanchez Bautista,Safe,False,98423,1.983034603698946,Extra Large,1.455532256074997,2.4850129617627994,2.4691358024691357,1.97616410798289
3303,9533.0,4606.0,497.0,3599.0,64.0,8.0,467.0,54.0,56.0,54.0,43.0,85.0,0.0,805.0,795.0,5.0,1605.0,805,795,5,1605,False,True,False,False,zone1_precinct,True,True,True,48.31637469841603,5.213469002412672,37.753068289101016,0.6713521451799014,0.08391901814748767,4.898772684359593,0.5664533724955418,0.5874331270324137,0.5664533724955418,0.45106472254274627,0.8916395678170566,0.0,43.102905696003354,53.5298437008287,Strong Dem,16.836253015839713,50.155763239875384,49.532710280373834,0.3115264797507788,10,0.6230529595015576,Sanchez Bautista,La Forte,Toss-up,True,98423,1.6363858812014436,Extra Large,1.654948398503351,1.6100939727802983,1.2345679012345678,1.6307163975899943
3304,8816.0,4878.0,643.0,2786.0,29.0,5.0,372.0,35.0,18.0,22.0,18.0,9.0,1.0,803.0,1534.0,9.0,2346.0,803,1534,9,2346,False,True,False,False,zone1_precinct,True,True,True,55.33121597096189,7.293557168784029,31.601633393829403,0.3289473684210526,0.05671506352087115,4.219600725952813,0.397005444646098,0.2041742286751361,0.24954627949183303,0.2041742286751361,0.10208711433756805,0.011343012704174229,48.037658802177866,62.62477313974592,Strong Dem,26.61070780399274,34.22847399829497,65.38789428815004,0.3836317135549872,731,31.15942028985507,La Forte,Sanchez Bautista,Safe,False,98423,2.391876185232764,Extra Large,1.6508367254635912,3.1067725210628643,2.2222222222222223,2.3835892017109823
3305,35.0,15.0,9.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,10.0,2,8,0,10,False,True,False,False,zone1_precinct,True,True,True,42.857142857142854,25.71428571428571,28.57142857142857,0.0,0.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,17.142857142857142,68.57142857142857,Lean Dem,28.57142857142857,20.0,80.0,0.0,6,60.0,La Forte,Sanchez Bautista,Safe,False,98423,0.010195550661691238,Small,0.004111673039759878,0.016202203499675955,0.0,0.010160226776261647
3306,8812.0,4054.0,488.0,3444.0,86.0,14.0,453.0,64.0,39.0,53.0,38.0,79.0,0.0,617.0,577.0,6.0,1200.0,617,577,6,1200,False,True,False,False,zone1_precinct,True,True,True,46.00544711756696,5.537902859736723,39.08306854289605,0.9759418974126192,0.15887426236949614,5.140717203812982,0.7262823422605538,0.442578302315025,0.6014525646845211,0.43123014071720384,0.8965047662278711,0.0,40.467544257830234,51.543349977303684,Strong Dem,13.617793917385384,51.416666666666664,48.083333333333336,0.5,40,3.3333333333333335,Sanchez Bautista,La Forte,Toss-up,True,98423,1.2234660794029486,Extra Large,1.2684511327659225,1.1685839274141283,1.4814814814814816,1.2192272131513975
3307,6109.0,3359.0,288.0,2038.0,27.0,1.0,261.0,34.0,26.0,28.0,22.0,24.0,1.0,541.0,730.0,3.0,1274.0,541,730,3,1274,False,True,False,False,zone1_precinct,True,True,True,54.98444917335079,4.714355868390899,33.360615485349484,0.44197086266164676,0.01636929120969062,4.272385005729252,0.5565559011294811,0.42560157145195615,0.4583401538713373,0.3601244066131936,0.39286298903257494,0.01636929120969062,50.27009330495989,59.698805041741686,Strong Dem,20.85447700114585,42.464678178963894,57.299843014128726,0.23547880690737832,189,14.835164835164836,La Forte,Sanchez Bautista,Safe,False,98423,1.2989131542994636,Extra Large,1.1122075572550472,1.4784510693454311,0.7407407407407408,1.2944128912957338
3308,4110.0,2218.0,229.0,1379.0,28.0,3.0,142.0,28.0,7.0,21.0,22.0,32.0,1.0,517.0,390.0,3.0,910.0,517,390,3,910,False,True,False,False,zone1_precinct,True,True,True,53.96593673965937,5.571776155717761,33.552311435523116,0.6812652068126521,0.072992700729927,3.454987834549878,0.6812652068126521,0.17031630170316303,0.5109489051094891,0.5352798053527981,0.7785888077858881,0.024330900243309004,48.394160583941606,59.53771289537713,Strong Dem,22.14111922141119,56.81318681318681,42.857142857142854,0.32967032967032966,127,13.956043956043956,Sanchez Bautista,La Forte,Safe,False,98423,0.9277951102139026,Large,1.0628674807779286,0.7898574206092029,0.7407407407407408,0.9245806366398098
