precinct,candidate_galanakis,candidate_engelsman,candidate_crowe,candidate_mains,candidate_write_in,total_votes
Clackamas,9,28,5,0,1,43
Washington,62,230,7,9,5,313
2801,342,1962,95,35,9,2443
2802,56,302,16,5,1,380
2803,87,511,45,7,3,653
2804,346,1849,60,31,10,2296
2805,400,2361,91,34,11,2897
2806,362,2322,116,31,10,2841
3101,69,206,12,11,3,301
3301,49,237,10,10,2,308
3302,303,1510,99,25,13,1950
3303,214,1213,135,36,6,1604
3304,386,1846,85,24,10,2351
3305,2,8,0,0,0,10
3306,162,913,79,42,5,1201
3307,183,1002,66,22,3,1276
3308,102,739,55,18,2,916
3401,33,154,9,2,1,199
3402,0,0,0,0,0,0
3801,4,18,1,0,0,23
3802,78,389,35,17,2,521
3803,376,2258,108,38,13,2793
3804,153,738,36,22,8,957
3805,240,1569,83,37,7,1936
4101,142,985,38,14,6,1185
4102,114,781,36,25,3,959
4103,190,1267,58,26,6,1547
4104,202,1689,83,24,8,2006
4105,257,2028,78,28,9,2400
4201,138,1322,75,13,2,1550
4202,261,2281,83,25,7,2657
4203,254,2017,86,27,5,2389
4204,305,2073,58,12,12,2460
4205,177,1360,76,21,3,1637
4206,140,1349,73,15,6,1583
4207,119,1053,35,12,8,1227
4208,198,997,29,11,4,1239
4301,107,950,66,12,2,1137
4302,169,1067,81,17,3,1337
4303,181,1707,104,28,6,2026
4304,197,2022,80,18,11,2328
4305,237,2040,96,25,5,2403
4306,328,2214,61,11,8,2622
4307,254,2013,106,30,7,2410
4401,138,1039,83,39,3,1302
4402,208,1285,104,39,12,1648
4403,226,1685,122,43,16,2092
4404,230,1878,80,52,5,2245
4405,224,1936,120,24,10,2314
4406,217,1164,113,55,14,1563
4407,0,0,0,0,0,0
4501,409,2923,93,34,11,3470
4502,286,2371,121,43,12,2833
4503,270,1808,124,59,13,2274
4505,92,504,25,8,1,630
4506,345,1825,118,43,19,2350
4601,278,1921,84,34,6,2323
4602,227,1651,94,32,11,2015
4603,168,1092,64,17,8,1349
4604,197,1402,91,36,13,1739
4605,141,808,91,41,20,1101
4606,91,675,73,24,3,866
4607,96,615,64,32,9,816
4608,1,6,0,0,0,7
4702,0,4,0,0,0,4
4801,19,57,6,2,0,84
