School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2010-2011,OREGON,4100990,Adel SD 21,,,583,Mathematics,GE50,7,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4100990,Adel SD 21,,,584,Reading/Language Arts,GE50,7,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4101020,Adrian SD 61,,,583,Mathematics,70-74,132,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4101020,Adrian SD 61,,,584,Reading/Language Arts,75-79,131,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4101200,Alsea SD 7J,,,583,Mathematics,45-49,77,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4101200,Alsea SD 7J,,,584,Reading/Language Arts,70-74,77,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4101230,Amity SD 4J,,,583,Mathematics,51,472,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4101230,Amity SD 4J,,,584,Reading/Language Arts,75,473,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4101350,Annex SD 29,,,583,Mathematics,11-19,35,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4101350,Annex SD 29,,,584,Reading/Language Arts,70-79,35,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4101470,Arlington SD 3,,,583,Mathematics,60-69,55,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4101470,Arlington SD 3,,,584,Reading/Language Arts,80-89,55,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4101500,Arock SD 81,,,583,Mathematics,GE50,9,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4101500,Arock SD 81,,,584,Reading/Language Arts,GE50,9,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4101560,Ashland SD 5,,,583,Mathematics,78,1452,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4101560,Ashland SD 5,,,584,Reading/Language Arts,89,1453,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4101590,Ashwood SD 8,,,583,Mathematics,GE50,6,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4101590,Ashwood SD 8,,,584,Reading/Language Arts,GE50,6,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4101620,Astoria SD 1,,,583,Mathematics,59,991,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4101620,Astoria SD 1,,,584,Reading/Language Arts,81,996,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4101660,Athena-Weston SD 29RJ,,,583,Mathematics,68,285,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4101660,Athena-Weston SD 29RJ,,,584,Reading/Language Arts,89,287,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4101710,Baker SD 5J,,,583,Mathematics,66,1082,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4101710,Baker SD 5J,,,584,Reading/Language Arts,85,1082,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4101800,Bandon SD 54,,,583,Mathematics,69,393,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4101800,Bandon SD 54,,,584,Reading/Language Arts,89,395,,All Students,All Students,,All Grades,Reading/Language Arts,,
